code,name,sector,market
205A,ロゴスホールディングス,建設業,グロース（内国株式）
2060,フィード・ワン,食料品,プライム（内国株式）
206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,医薬品,グロース（内国株式）
208A,構造計画研究所ホールディングス,情報・通信業,スタンダード（内国株式）
2108,日本甜菜製糖,食料品,プライム（内国株式）
2109,ＤＭ三井製糖,食料品,プライム（内国株式）
2112,塩水港精糖,食料品,スタンダード（内国株式）
2114,フジ日本,食料品,スタンダード（内国株式）
2117,ウェルネオシュガー,食料品,プライム（内国株式）
211A,カドス・コーポレーション,建設業,スタンダード（内国株式）
2120,ＬＩＦＵＬＬ,サービス業,プライム（内国株式）
2121,ＭＩＸＩ,情報・通信業,プライム（内国株式）
2122,インタースペース,サービス業,スタンダード（内国株式）
2124,ジェイエイシーリクルートメント,サービス業,プライム（内国株式）
2127,日本Ｍ＆Ａセンターホールディングス,サービス業,プライム（内国株式）
212A,フィットイージー,サービス業,プライム（内国株式）
2130,メンバーズ,サービス業,プライム（内国株式）
2134,北浜キャピタルパートナーズ,サービス業,スタンダード（内国株式）
2136,ヒップ,サービス業,スタンダード（内国株式）
2138,クルーズ,情報・通信業,スタンダード（内国株式）
2139,中広,サービス業,スタンダード（内国株式）
2146,ＵＴグループ,サービス業,プライム（内国株式）
2148,アイティメディア,サービス業,プライム（内国株式）
2152,幼児活動研究会,サービス業,スタンダード（内国株式）
2153,Ｅ・Ｊホールディングス,サービス業,プライム（内国株式）
2154,オープンアップグループ,サービス業,プライム（内国株式）
2156,セーラー広告,サービス業,スタンダード（内国株式）
2157,コシダカホールディングス,サービス業,プライム（内国株式）
2158,ＦＲＯＮＴＥＯ,サービス業,グロース（内国株式）
215A,タイミー,サービス業,グロース（内国株式）
2160,ジーエヌアイグループ,医薬品,グロース（内国株式）
2163,アルトナー,サービス業,プライム（内国株式）
2164,地域新聞社,サービス業,スタンダード（内国株式）
2168,パソナグループ,サービス業,プライム（内国株式）
2169,ＣＤＳ,サービス業,スタンダード（内国株式）
2170,リンクアンドモチベーション,サービス業,プライム（内国株式）
2173,博展,サービス業,グロース（内国株式）
2175,エス・エム・エス,サービス業,プライム（内国株式）
2179,成学社,サービス業,スタンダード（内国株式）
2180,サニーサイドアップグループ,サービス業,スタンダード（内国株式）
2181,パーソルホールディングス,サービス業,プライム（内国株式）
2183,リニカル,サービス業,スタンダード（内国株式）
2185,シイエム・シイ,サービス業,スタンダード（内国株式）
2186,ソーバル,サービス業,スタンダード（内国株式）
218A,Ｌｉｂｅｒａｗａｒｅ,精密機器,グロース（内国株式）
2193,クックパッド,サービス業,スタンダード（内国株式）
2195,アミタホールディングス,サービス業,グロース（内国株式）
2198,アイ・ケイ・ケイホールディングス,サービス業,プライム（内国株式）
219A,Ｈｅａｒｔｓｅｅｄ,医薬品,グロース（内国株式）
2201,森永製菓,食料品,プライム（内国株式）
2204,中村屋,食料品,スタンダード（内国株式）
2206,江崎グリコ,食料品,プライム（内国株式）
2207,ｍｅｉｔｏ,食料品,プライム（内国株式）
2208,ブルボン,食料品,スタンダード（内国株式）
2209,井村屋グループ,食料品,プライム（内国株式）
220A,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,情報・通信業,スタンダード（内国株式）
2211,不二家,食料品,プライム（内国株式）
2212,山崎製パン,食料品,プライム（内国株式）
2215,第一屋製パン,食料品,スタンダード（内国株式）
2216,カンロ,食料品,スタンダード（内国株式）
2217,モロゾフ,食料品,プライム（内国株式）
2220,亀田製菓,食料品,プライム（内国株式）
2221,岩塚製菓,食料品,スタンダード（内国株式）
2222,寿スピリッツ,食料品,プライム（内国株式）
2224,コモ,食料品,スタンダード（内国株式）
2226,湖池屋,食料品,スタンダード（内国株式）
2229,カルビー,食料品,プライム（内国株式）
2264,森永乳業,食料品,プライム（内国株式）
2266,六甲バター,食料品,プライム（内国株式）
2267,ヤクルト本社,食料品,プライム（内国株式）
2268,Ｂ－Ｒ　サーティワン　アイスクリーム,食料品,スタンダード（内国株式）
2269,明治ホールディングス,食料品,プライム（内国株式）
2270,雪印メグミルク,食料品,プライム（内国株式）
2281,プリマハム,食料品,プライム（内国株式）
2282,日本ハム,食料品,プライム（内国株式）
2286,林兼産業,食料品,スタンダード（内国株式）
2288,丸大食品,食料品,プライム（内国株式）
228A,オプロ,情報・通信業,グロース（内国株式）
2291,福留ハム,食料品,スタンダード（内国株式）
2292,Ｓ　Ｆｏｏｄｓ,食料品,プライム（内国株式）
2293,滝沢ハム,食料品,スタンダード（内国株式）
2294,柿安本店,食料品,プライム（内国株式）
2296,伊藤ハム米久ホールディングス,食料品,プライム（内国株式）
2300,きょくとう,サービス業,スタンダード（内国株式）
2301,学情,サービス業,プライム（内国株式）
2303,ドーン,情報・通信業,スタンダード（内国株式）
2304,ＣＳＳホールディングス,サービス業,スタンダード（内国株式）
2305,スタジオアリス,サービス業,スタンダード（内国株式）
2307,クロスキャット,情報・通信業,プライム（内国株式）
2311,エプコ,サービス業,スタンダード（内国株式）
2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,情報・通信業,スタンダード（内国株式）
2317,システナ,情報・通信業,プライム（内国株式）
2321,ソフトフロントホールディングス,情報・通信業,グロース（内国株式）
2323,ｆｏｎｆｕｎ,情報・通信業,スタンダード（内国株式）
2325,ＮＪＳ,サービス業,プライム（内国株式）
2326,デジタルアーツ,情報・通信業,プライム（内国株式）
2327,日鉄ソリューションズ,情報・通信業,プライム（内国株式）
2329,東北新社,情報・通信業,スタンダード（内国株式）
2330,フォーサイド,情報・通信業,スタンダード（内国株式）
2331,ＡＬＳＯＫ,サービス業,プライム（内国株式）
2332,クエスト,情報・通信業,スタンダード（内国株式）
2334,イオレ,サービス業,グロース（内国株式）
2335,キューブシステム,情報・通信業,プライム（内国株式）
2337,いちご,不動産業,プライム（内国株式）
2338,クオンタムソリューションズ,情報・通信業,スタンダード（内国株式）
2340,極楽湯ホールディングス,サービス業,スタンダード（内国株式）
2341,アルバイトタイムス,サービス業,スタンダード（内国株式）
2342,トランスジェニックグループ,サービス業,スタンダード（内国株式）
2345,ＨＯＤＬ１,情報・通信業,スタンダード（内国株式）
2349,エヌアイデイ,情報・通信業,スタンダード（内国株式）
2351,ＡＳＪ,情報・通信業,スタンダード（内国株式）
2353,日本駐車場開発,不動産業,プライム（内国株式）
2354,ＹＥ　ＤＩＧＩＴＡＬ,情報・通信業,スタンダード（内国株式）
2359,コア,情報・通信業,プライム（内国株式）
2370,メディネット,サービス業,グロース（内国株式）
2371,カカクコム,サービス業,プライム（内国株式）
2373,ケア２１,サービス業,スタンダード（内国株式）
2375,ギグワークス,サービス業,スタンダード（内国株式）
2376,サイネックス,サービス業,スタンダード（内国株式）
2378,ルネサンス,サービス業,プライム（内国株式）
2379,ディップ,サービス業,プライム（内国株式）
2384,ＳＢＳホールディングス,陸運業,プライム（内国株式）
2385,総医研ホールディングス,サービス業,グロース（内国株式）
2388,ウェッジホールディングス,その他金融業,グロース（内国株式）
2391,プラネット,サービス業,スタンダード（内国株式）
2393,日本ケアサプライ,サービス業,スタンダード（内国株式）
2395,新日本科学,サービス業,プライム（内国株式）
2404,鉄人化ホールディングス,サービス業,スタンダード（内国株式）
2408,ＫＧ情報,サービス業,スタンダード（内国株式）
2410,キャリアデザインセンター,サービス業,プライム（内国株式）
2411,ゲンダイエージェンシー,情報・通信業,スタンダード（内国株式）
2413,エムスリー,サービス業,プライム（内国株式）
2415,ヒューマンホールディングス,サービス業,スタンダード（内国株式）
2418,ツカダ・グローバルホールディング,サービス業,スタンダード（内国株式）
241A,ＲＯＸＸ,情報・通信業,グロース（内国株式）
2424,ブラス,サービス業,スタンダード（内国株式）
2425,ケアサービス,サービス業,スタンダード（内国株式）
2428,ウェルネット,サービス業,スタンダード（内国株式）
2429,ワールドホールディングス,サービス業,プライム（内国株式）
2432,ディー・エヌ・エー,情報・通信業,プライム（内国株式）
2433,博報堂ＤＹホールディングス,サービス業,プライム（内国株式）
2435,シダー,サービス業,スタンダード（内国株式）
2436,共同ピーアール,サービス業,スタンダード（内国株式）
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,サービス業,スタンダード（内国株式）
2438,アスカネット,サービス業,グロース（内国株式）
2440,ぐるなび,サービス業,スタンダード（内国株式）
2445,タカミヤ,サービス業,スタンダード（内国株式）
2449,プラップジャパン,サービス業,スタンダード（内国株式）
244A,グロースエクスパートナーズ,情報・通信業,グロース（内国株式）
2454,オールアバウト,サービス業,スタンダード（内国株式）
2459,アウンコンサルティング,サービス業,スタンダード（内国株式）
245A,ＩＮＧＳ,小売業,グロース（内国株式）
2461,ファンコミュニケーションズ,サービス業,プライム（内国株式）
2462,ライク,サービス業,プライム（内国株式）
2464,Ａｏｂａ‐ＢＢＴ,サービス業,スタンダード（内国株式）
2469,ヒビノ,サービス業,スタンダード（内国株式）
246A,アスア,サービス業,グロース（内国株式）
2471,エスプール,サービス業,プライム（内国株式）
2475,ＷＤＢホールディングス,サービス業,プライム（内国株式）
2477,手間いらず,情報・通信業,スタンダード（内国株式）
2479,ジェイテック,サービス業,スタンダード（内国株式）
247A,Ａｉロボティクス,化学,グロース（内国株式）
2480,システム・ロケーション,情報・通信業,スタンダード（内国株式）
2481,タウンニュース社,サービス業,スタンダード（内国株式）
2483,翻訳センター,サービス業,スタンダード（内国株式）
2484,出前館,情報・通信業,スタンダード（内国株式）
2485,ティア,サービス業,スタンダード（内国株式）
2488,ＪＴＰ,サービス業,スタンダード（内国株式）
2489,アドウェイズ,サービス業,スタンダード（内国株式）
248A,キッズスター,情報・通信業,グロース（内国株式）
2491,バリューコマース,サービス業,プライム（内国株式）
2492,インフォマート,サービス業,プライム（内国株式）
2493,イーサポートリンク,サービス業,スタンダード（内国株式）
2497,ユナイテッド,サービス業,グロース（内国株式）
2498,オリエンタルコンサルタンツホールディングス,サービス業,スタンダード（内国株式）
2499,日本和装ホールディングス,サービス業,スタンダード（内国株式）
2501,サッポロビール,食料品,プライム（内国株式）
2502,アサヒグループホールディングス,食料品,プライム（内国株式）
2503,キリンホールディングス,食料品,プライム（内国株式）
250A,シマダヤ,食料品,スタンダード（内国株式）
2531,宝ホールディングス,食料品,プライム（内国株式）
2533,オエノンホールディングス,食料品,プライム（内国株式）
253A,ＥＴＳグループ,建設業,スタンダード（内国株式）
254A,ＡＩフュージョンキャピタルグループ,証券、商品先物取引業,スタンダード（内国株式）
255A,ジーエルテクノホールディングス,精密機器,スタンダード（内国株式）
256A,飛島ホールディングス,建設業,プライム（内国株式）
2573,北海道コカ・コーラボトリング,食料品,スタンダード（内国株式）
2579,コカ・コーラ　ボトラーズジャパンホールディングス,食料品,プライム（内国株式）
2585,ライフドリンク　カンパニー,食料品,プライム（内国株式）
2586,フルッタフルッタ,食料品,グロース（内国株式）
2587,サントリービバレッジ＆フード,食料品,プライム（内国株式）
2588,プレミアムウォーターホールディングス,食料品,スタンダード（内国株式）
2590,ダイドーグループホールディングス,食料品,プライム（内国株式）
2593,伊藤園,食料品,プライム（内国株式）
25935,伊藤園第１種優先株式,食料品,プライム（内国株式）
2594,キーコーヒー,食料品,プライム（内国株式）
2597,ユニカフェ,食料品,スタンダード（内国株式）
2602,日清オイリオグループ,食料品,プライム（内国株式）
2607,不二製油,食料品,プライム（内国株式）
2612,かどや製油,食料品,スタンダード（内国株式）
2613,Ｊ－オイルミルズ,食料品,プライム（内国株式）
261A,日水コン,サービス業,スタンダード（内国株式）
262A,インターメスティック,小売業,プライム（内国株式）
264A,Ｓｃｈｏｏ,サービス業,グロース（内国株式）
2652,まんだらけ,小売業,スタンダード（内国株式）
2653,イオン九州,小売業,スタンダード（内国株式）
2654,アスモ,小売業,スタンダード（内国株式）
2656,ベクターホールディングス,小売業,スタンダード（内国株式）
2659,サンエー,小売業,プライム（内国株式）
265A,Ｈｍｃｏｍｍ,情報・通信業,グロース（内国株式）
2664,カワチ薬品,小売業,プライム（内国株式）
2666,オートウェーブ,小売業,スタンダード（内国株式）
2667,イメージ　ワン,卸売業,スタンダード（内国株式）
2668,タビオ,卸売業,スタンダード（内国株式）
2669,カネ美食品,小売業,スタンダード（内国株式）
2670,エービーシー・マート,小売業,プライム（内国株式）
2673,夢みつけ隊,小売業,スタンダード（内国株式）
2674,ハードオフコーポレーション,小売業,プライム（内国株式）
2676,高千穂交易,卸売業,プライム（内国株式）
2678,アスクル,小売業,プライム（内国株式）
2681,ゲオホールディングス,小売業,プライム（内国株式）
2683,魚喜,小売業,スタンダード（内国株式）
2685,アンドエスティＨＤ,小売業,プライム（内国株式）
2687,シー・ヴイ・エス・ベイエリア,サービス業,スタンダード（内国株式）
2689,オルバヘルスケアホールディングス,卸売業,スタンダード（内国株式）
268A,リガク・ホールディングス,精密機器,プライム（内国株式）
2693,ＹＫＴ,卸売業,スタンダード（内国株式）
2694,焼肉坂井ホールディングス,小売業,スタンダード（内国株式）
2695,くら寿司,小売業,プライム（内国株式）
2698,キャンドゥ,小売業,スタンダード（内国株式）
269A,Ｓａｐｅｅｔ,情報・通信業,グロース（内国株式）
2700,木徳神糧,卸売業,スタンダード（内国株式）
2702,日本マクドナルドホールディングス,小売業,スタンダード（内国株式）
2705,大戸屋ホールディングス,小売業,スタンダード（内国株式）
2708,久世,卸売業,スタンダード（内国株式）
2721,ジェイホールディングス,卸売業,スタンダード（内国株式）
2722,ＩＫホールディングス,小売業,スタンダード（内国株式）
2726,パルグループホールディングス,小売業,プライム（内国株式）
2730,エディオン,小売業,プライム（内国株式）
2733,あらた,卸売業,プライム（内国株式）
2734,サーラコーポレーション,小売業,プライム（内国株式）
2735,ワッツ,小売業,スタンダード（内国株式）
2736,フェスタリアホールディングス,小売業,スタンダード（内国株式）
2737,トーメンデバイス,卸売業,プライム（内国株式）
2742,ハローズ,小売業,プライム（内国株式）
2747,北雄ラッキー,小売業,スタンダード（内国株式）
2749,ＪＰホールディングス,サービス業,プライム（内国株式）
274A,ガーデン,小売業,スタンダード（内国株式）
2750,石光商事,卸売業,スタンダード（内国株式）
2751,テンポスホールディングス,卸売業,スタンダード（内国株式）
2752,フジオフードグループ本社,小売業,プライム（内国株式）
2753,あみやき亭,小売業,プライム（内国株式）
2760,東京エレクトロン　デバイス,卸売業,プライム（内国株式）
2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,小売業,スタンダード（内国株式）
2764,ひらまつ,小売業,スタンダード（内国株式）
2767,円谷フィールズホールディングス,卸売業,プライム（内国株式）
2768,双日,卸売業,プライム（内国株式）
2769,ヴィレッジヴァンガードコーポレーション,小売業,スタンダード（内国株式）
276A,ククレブ・アドバイザーズ,不動産業,グロース（内国株式）
2776,新都ホールディングス,卸売業,スタンダード（内国株式）
2778,パレモ・ホールディングス,小売業,スタンダード（内国株式）
277A,グロービング,サービス業,プライム（内国株式）
2780,コメ兵ホールディングス,小売業,スタンダード（内国株式）
2782,セリア,小売業,スタンダード（内国株式）
2784,アルフレッサ　ホールディングス,卸売業,プライム（内国株式）
2788,アップルインターナショナル,卸売業,スタンダード（内国株式）
2789,カルラ,小売業,スタンダード（内国株式）
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,精密機器,グロース（内国株式）
2790,ナフコ,小売業,スタンダード（内国株式）
2791,大黒天物産,小売業,プライム（内国株式）
2792,ハニーズホールディングス,小売業,プライム（内国株式）
2795,日本プリメックス,卸売業,スタンダード（内国株式）
2796,ファーマライズホールディングス,小売業,スタンダード（内国株式）
2798,ワイズテーブルコーポレーション,小売業,スタンダード（内国株式）
2801,キッコーマン,食料品,プライム（内国株式）
2802,味の素,食料品,プライム（内国株式）
2804,ブルドックソース,食料品,プライム（内国株式）
2805,ヱスビー食品,食料品,スタンダード（内国株式）
2806,ユタカフーズ,食料品,スタンダード（内国株式）
2809,キユーピー,食料品,プライム（内国株式）
280A,ＴＭＨ,卸売業,グロース（内国株式）
2810,ハウス食品グループ本社,食料品,プライム（内国株式）
2811,カゴメ,食料品,プライム（内国株式）
2813,和弘食品,食料品,スタンダード（内国株式）
2814,佐藤食品工業,食料品,スタンダード（内国株式）
2815,アリアケジャパン,食料品,プライム（内国株式）
2816,ダイショー,食料品,スタンダード（内国株式）
2818,ピエトロ,食料品,スタンダード（内国株式）
2819,エバラ食品工業,食料品,スタンダード（内国株式）
281A,インフォメティス,情報・通信業,グロース（内国株式）
2820,やまみ,食料品,スタンダード（内国株式）
2831,はごろもフーズ,食料品,スタンダード（内国株式）
285A,キオクシアホールディングス,電気機器,プライム（内国株式）
286A,ユカリア,サービス業,グロース（内国株式）
2871,ニチレイ,食料品,プライム（内国株式）
2872,セイヒョー,食料品,スタンダード（内国株式）
2874,横浜冷凍,卸売業,プライム（内国株式）
2875,東洋水産,食料品,プライム（内国株式）
2876,デルソーレ,食料品,スタンダード（内国株式）
2877,日東ベスト,食料品,スタンダード（内国株式）
287A,黒田グループ,卸売業,スタンダード（内国株式）
2882,イートアンドホールディングス,食料品,プライム（内国株式）
2883,大冷,食料品,スタンダード（内国株式）
2884,ヨシムラ・フード・ホールディングス,食料品,プライム（内国株式）
288A,ラクサス・テクノロジーズ,サービス業,グロース（内国株式）
2892,日本食品化工,食料品,スタンダード（内国株式）
2894,石井食品,食料品,スタンダード（内国株式）
2897,日清食品ホールディングス,食料品,プライム（内国株式）
2901,ウェルディッシュ,食料品,スタンダード（内国株式）
